"","Team","Year","Pass.Attempts","Pass.Completion.Rate","Avg.Passing.Yards","Rush Attempts","Avg Rushing Yards"
"1","Arizona Cardinals",1994,238,55.9,1510,20,59
"2","Arizona Cardinals",1995,NA,NA,NA,13.8333333333333,44
"3","Arizona Cardinals",1996,339,56,2293,46,183.166666666667
"4","Arizona Cardinals",1997,NA,NA,NA,22.1666666666667,64.1666666666667
"5","Arizona Cardinals",1998,NA,NA,NA,31,91.5
"6","Arizona Cardinals",1999,NA,NA,NA,36.25,125.5
"7","Arizona Cardinals",2001,NA,NA,NA,81.6666666666667,289.666666666667
"8","Arizona Cardinals",2002,NA,NA,NA,6.5,27.6666666666667
"9","Arizona Cardinals",2003,83.5,28.6,509,10.6,52.4
"10","Arizona Cardinals",2004,177.333333333333,52.7,1060.33333333333,18.375,65.875
"11","Arizona Cardinals",2005,167.5,45.8,1180.75,22.625,80.125
"12","Arizona Cardinals",2006,272.5,60.55,1962,49.125,157.5
"13","Arizona Cardinals",2007,196.666666666667,57.1666666666667,1409.33333333333,54.5714285714286,196.428571428571
"14","Arizona Cardinals",2008,126,63.76,975,56.3333333333333,195
"15","Arizona Cardinals",2009,295,66.15,2094,70.4,281.4
"16","Arizona Cardinals",2010,144.333333333333,52.9333333333333,861.666666666667,55.2,231.6
"17","Arizona Cardinals",2011,137.5,51.6,1020.5,41.1428571428571,175.428571428571
"18","Arizona Cardinals",2012,135.666666666667,56.0666666666667,750.333333333333,14.75,56.625
"19","Arizona Cardinals",2013,191.333333333333,54.4333333333333,1430.33333333333,37.4,159.8
"20","Arizona Cardinals",2014,113.4,55.48,798,35.9,120.5
"21","Arizona Cardinals",2015,281,53.85,2387.5,50.2222222222222,213
"22","Arizona Cardinals",2016,215.333333333333,33.5333333333333,1475,39.8,173.2
"23","Atlanta Falcons",1966,295,43.7,1795,29.5,116
"24","Atlanta Falcons",1967,174,49.65,986,14.8,70.8
"25","Atlanta Falcons",1968,57.6666666666667,38.9333333333333,317.666666666667,22.8571428571429,79.4285714285714
"26","Atlanta Falcons",1969,39.25,48.775,283.5,38.75,197.5
"27","Atlanta Falcons",1970,36.5,77.8,228,49.2,174.4
"28","Atlanta Falcons",1971,NA,NA,NA,43,158.4
"29","Atlanta Falcons",1972,NA,NA,NA,104.75,456
"30","Atlanta Falcons",1973,230,52.2,1786,69.5714285714286,273.428571428571
"31","Atlanta Falcons",1974,172,45.3,852,46.8571428571429,169.571428571429
"32","Atlanta Falcons",1975,128,72.55,843.5,58.1666666666667,219.833333333333
"33","Atlanta Falcons",1976,30.75,36.875,181.5,49.2,182.2
"34","Atlanta Falcons",1977,46,15.7,265.333333333333,41.1428571428571,126
"35","Atlanta Falcons",1978,185,25.35,1244.5,43.5714285714286,139.428571428571
"36","Atlanta Falcons",1979,190.5,76.85,1262.5,64.7142857142857,277.285714285714
"37","Atlanta Falcons",1980,232,27.75,1772,78.7142857142857,337.857142857143
"38","Atlanta Falcons",1981,267,27.85,1914.5,59.875,239.875
"39","Atlanta Falcons",1982,262,63.4,1905,57,210.6
"40","Atlanta Falcons",1983,144.666666666667,54.4666666666667,1063.33333333333,78.3333333333333,352.166666666667
"41","Atlanta Falcons",1984,143.5,64.2,1169.5,90.4,366.8
"42","Atlanta Falcons",1985,211.5,56.9,1365,87.6666666666667,380.833333333333
"43","Atlanta Falcons",1986,113,36.5,761.5,51.4444444444444,211
"44","Atlanta Falcons",1987,105.666666666667,48.1,665.666666666667,26.6363636363636,109
"45","Atlanta Falcons",1988,99,49.5,566,100,426
"46","Atlanta Falcons",1989,NA,NA,NA,62,230.25
"47","Atlanta Falcons",1990,76,47.4,527,9,26
"48","Atlanta Falcons",1991,43,24.4,265.5,35,118.25
"49","Atlanta Falcons",1992,131,55.7,787,8.66666666666667,33.3333333333333
"50","Atlanta Falcons",1993,38.5,25.65,232,81.75,329.25
"51","Atlanta Falcons",1994,175.333333333333,20.5,1244.66666666667,27.6,85.4
"52","Atlanta Falcons",1995,557,60.3,4143,16.75,44.5
"53","Atlanta Falcons",1996,56,51.4,378.5,118.5,532.5
"54","Atlanta Falcons",1997,153.666666666667,46.3,1134.66666666667,67.1666666666667,257.666666666667
"55","Atlanta Falcons",1998,97.25,27.225,880.75,80.1666666666667,337
"56","Atlanta Falcons",1999,195.5,53.35,1466,51.2857142857143,165.285714285714
"57","Atlanta Falcons",2001,161,55.1,1218.33333333333,28.5714285714286,141.571428571429
"58","Atlanta Falcons",2002,239,59.9,1692,32.6,186.8
"59","Atlanta Falcons",2003,114.5,36.15,657.75,14.2,65
"60","Atlanta Falcons",2004,321,56.4,2313,40.6666666666667,305.333333333333
"61","Atlanta Falcons",2005,387,55.3,2412,102,597
"62","Atlanta Falcons",2006,194.5,26.3,1237,45,334.4
"63","Atlanta Falcons",2007,185,58.9,1191,22.8333333333333,119.166666666667
"64","Atlanta Falcons",2008,434,61.1,3440,54,220.666666666667
"65","Atlanta Falcons",2009,285,58.15,1848.5,30,89.5
"66","Atlanta Falcons",2010,288.5,64.6,1862.5,10.3333333333333,26.1666666666667
"67","Atlanta Falcons",2011,297,62.8,2182.5,21.2,68.4
"68","Atlanta Falcons",2012,615,68.6,4719,27.6,106.8
"69","Atlanta Falcons",2013,219.666666666667,79.6,1513.66666666667,46.1666666666667,180.5
"70","Atlanta Falcons",2014,316,70.55,2379,53.1428571428571,214
"71","Atlanta Falcons",2015,614,66.3,4591,69.8333333333333,268.333333333333
"72","Atlanta Falcons",2016,534,69.9,4944,69.3333333333333,320.5
"73","Baltimore Colts",1950,159,42.2,942.5,9.66666666666667,33.6666666666667
"74","Baltimore Colts",1953,72.25,40.9,378,33.5,128.833333333333
"75","Baltimore Colts",1954,62.4,51.68,399,32.8333333333333,127.666666666667
"76","Baltimore Colts",1955,133,50.95,897.5,56.6666666666667,236.833333333333
"77","Baltimore Colts",1956,91.6666666666667,71.8666666666667,734,39.5714285714286,185.571428571429
"78","Baltimore Colts",1957,104,37.5666666666667,869.333333333333,45,167
"79","Baltimore Colts",1958,176,48.9,1269,61.5,270.25
"80","Baltimore Colts",1959,367,52.6,2899,70.3333333333333,275.333333333333
"81","Baltimore Colts",1960,378,50.3,3099,21.6666666666667,82
"82","Baltimore Colts",1961,420,54.5,2990,59,244.75
"83","Baltimore Colts",1962,201,47.8,1526,54.75,184
"84","Baltimore Colts",1963,207.5,38.9,1750.5,60.3333333333333,256
"85","Baltimore Colts",1964,154.5,63.4,1441,26.6666666666667,125.333333333333
"86","Baltimore Colts",1965,144.5,36.25,1274.5,22.25,77.5
"87","Baltimore Colts",1966,175.5,28,1374,35.6666666666667,139.666666666667
"88","Baltimore Colts",1967,152.333333333333,44.9333333333333,1187,44,188.5
"89","Baltimore Colts",1968,NA,NA,NA,43.6,170.8
"90","Baltimore Colts",1969,165,43.85,1194,55,210.4
"91","Baltimore Colts",1970,321,51.7,2213,29,94.8333333333333
"92","Baltimore Colts",1971,88.5,26.15,471,38.6666666666667,147.777777777778
"93","Baltimore Colts",1972,157,56.1,1111,57.1666666666667,218.833333333333
"94","Baltimore Colts",1973,NA,NA,NA,36.1666666666667,127.333333333333
"95","Baltimore Colts",1974,NA,NA,NA,33.6,117.2
"96","Baltimore Colts",1975,NA,NA,NA,65,217.333333333333
"97","Baltimore Colts",1976,NA,NA,NA,57.25,220
"98","Baltimore Colts",1977,NA,NA,NA,57,203.75
"99","Baltimore Colts",1978,NA,NA,NA,84,330.333333333333
"100","Baltimore Colts",1979,229,29.55,1466,72,233
"101","Baltimore Colts",1980,47,51.1,275,74.3333333333333,286.166666666667
"102","Baltimore Colts",1981,NA,NA,NA,33.1666666666667,147.166666666667
"103","Baltimore Colts",1982,129,48.05,739,32.25,117.25
"104","Baltimore Colts",1983,113.333333333333,53.2333333333333,802.333333333333,103.333333333333,530
"105","Baltimore Ravens",1996,285,53.4,2137,13.2,60.2
"106","Baltimore Ravens",1997,293,57.75,1964.5,12,47.5
"107","Baltimore Ravens",1998,158.666666666667,55.0333333333333,1050.66666666667,17,64.8333333333333
"108","Baltimore Ravens",1999,245,49.05,1562,48.7142857142857,178.142857142857
"109","Baltimore Ravens",2001,NA,NA,NA,37,147.2
"110","Baltimore Ravens",2002,91.5,26.65,517,62.8333333333333,268
"111","Baltimore Ravens",2003,NA,NA,NA,96.4,497.4
"112","Baltimore Ravens",2004,NA,NA,NA,68.5,294.166666666667
"113","Baltimore Ravens",2005,NA,NA,NA,97,348.25
"114","Baltimore Ravens",2006,NA,NA,NA,118,437
"115","Baltimore Ravens",2007,NA,NA,NA,8,30.5
"116","Baltimore Ravens",2008,428,60,2971,29.1666666666667,116.333333333333
"117","Baltimore Ravens",2009,250,31.55,1806.5,50,235.833333333333
"118","Baltimore Ravens",2010,163.666666666667,87.5333333333333,1209.66666666667,70.8,264.2
